屏开 晴日 春风 绿苔	崖悬百尺古|面削一屏开|晴日流丹草|春风长绿苔
新绿 残红 落花 雨中	新绿阴将就|残红在亦稀|雨中千点絮|来伴落花飞
去年 莲开 镜里 颜色	去年种莲人|莲开人巳没|今我更不乐|镜里改颜色
帘垂 魂梦 潇湘 半卷	帘垂幕半卷|枕冷被仍香|如何为相忆|魂梦过潇湘
明月 登高 黄昏 斜阳	登高步斜阳|四望心悠哉|莫愁黄昏近|会有明月来
吐 彩丝 西施 照	少伯曾居此|螺纹吐彩丝|一奁秋镜好|犹可照西施
别离 行子 日月 美人	行子惜日月|美人轻别离|风吹蒲苇丛|及时当早归
绕砌 见 天成 风浪	一泓湛无滓|绕砌如天成|须眉彻底见|风浪何曾生
萦纡 盘 深林 鸟道	鸟道萦纡上|深林几折盘|支公此销夏|五月晚犹寒
新恩 悲秋 流人 叶	旧宠悲秋扇|新恩寄早春|聊题一片叶|将寄接流人
赐 汉 西子 明妃	和戎汉明妃|亡吴越西子|鬼妾赐元臣|孰受卢弓矢
理 膏肓 骨髓 忧	寿有可延理|医无不死方|扁曾忧骨髓|和亦畏膏肓
馀韵 黄 宜州 楞伽	楞伽有公择|娣弟如班宗|宜州黄宅相|馀韵更舂容
严子 客 姓名 东京	太公辅西伯|严子客东京|独有汾亭者|无人得姓名
北风 广陵 吹我 送君	北风送君去|吹我故园心|直挂广陵树|春来乱鸣禽
风度 笑语 谁家 微	见雁忆故乡|闻蛩思织妇|笑语是谁家|声逐微风度
金玉 洒 音 急雨	急雨洒高竹|虚斋散微飙|泠然金玉音|如杂箫与韶
风物 衰年 围 波涛	衰年邬子渡|少日赵家围|风物寻常是|波涛胆量非
空怀 山阁 郢中 西游	山阁忆春临|渚花宜晚望|不共瀼西游|空怀郢中唱
鸲鹆 绿阴 大堤 春风	枯杨临大堤|上有鸲鹆窠|春风几日至|会使绿阴多
武林 居士 供 费	武林王居士|与子俱学佛|以财供佛事|不自费一物
休恨 津 荡桨 水清	水清滩自急|荡桨直须人|劝卿休恨水|多为不知津
花 出水 寸心 人行	晴垄麦过花|暖泥秧出水|宽得一寸心|人行更千里
入 珠箔 明灯 风起	珠箔因风起|飞蛾入最能|不教人夜作|方便杀明灯
采莲 惯 乘潮 落日	落日晴江里|荆歌艳楚腰|采莲从小惯|十五即乘潮
子规 山禽 晚 暮春	暮春春已晚|不见子规飞|莫是无归处|山禽不劝归
东林 苍苔 清赏 幽栖	幽栖谢俗缘|僻性耽清赏|醉后步苍苔|东林月初上
梦绕 风露 汀洲 冥冥	冥冥见远心|向夕汀洲歇|苇花风露清|梦绕龙沙月
山家 销魂 闭门 风急	虎过山风急|山家早闭门|遥怜未投宿|月黑正销魂
爱花 白头 诗酒 独凭	行步欹危叟|爱花复怕春|独凭诗酒在|恕此白头人
起舞 满酌 高歌 鸡鸣	满酌莫宜侧|高歌不论声|醉时狂起舞|何必待鸡鸣
层 好事 家 种花	好事今馀几|频年不在家|老兴层台上|担灯夜种花
花心 仙 隐隐 芙蓉	曼卿仙不死|隐隐素骡嘶|走入芙蓉里|花心路忽迷
中人 宇宙 空洞 珍重	一庵容宇宙|介意安在哉|珍重庵中人|空洞无纤埃
脉 忌 眼 黄风	黄风有赤脉|白翳忌侵睛|须抽眼脉血|救疗有功能
峥嵘 终 眼明 吴山	吴山非不佳|故山终眼明|南来一拳石|似我小峥嵘
春日 远别 习家 襄阳	远别伤春日|襄阳路更西|习家池尚在|堪听白铜鞮
凌霄 桥下 纷纷 落红	已收桥下钓|复此石上酌|百尺凌霄花|纷纷落红萼
言诠 歧 还 路绝	智识不到处|言诠路绝时|欲藏还露骨|叶带更多歧
飞燕 重重 春寒 玉环	应怯春寒悄|重重叠叠衣|本来飞燕瘦|翻作玉环肥
谁肯 渔樵 山泽 赏	同为山泽臞|半分渔樵席|我不践斯境|谁肯赏兹僻
争 足 稻粱 凉	渚禽菱芡足|不向稻粱争|静宿凉湾月|应无失侣声
石林 响 山泉 息	崖蹙石林稠|谷静山泉响|麇麚囿其间|攸伏息下上
地僻 访 窗明 幽寂	地僻秋常蚤|窗明月已高|无人访幽寂|惟有鹤来巢
吴门 蹉跎 风雨 别情	专城未四十|暂谪岂蹉跎|风雨吴门夜|恻怆别情多
萱草 忘忧 合欢 萋萋	合欢能解恚|萱草信忘忧|尽向庭前种|萋萋特地愁
白 香 黄 新梅	旧鬓千丝白|新梅百叶黄|留花如有待|迷国更须香
广大 云汉 张 照	云汉昭宸极|人间一阁张|始知天广大|不外照辰阳
信 夜声 泣 鲛人	梅使驰朝信|鲛人泣夜声|千山俱素韵|一水尽凄情
扉 白云 寥寥 穷巷	朝寻白云去|暮将白云归|寥寥穷巷中|悬灯未掩扉
庐陵 片帆 郡 怒涛	远适庐陵郡|重江去不穷|全家片帆底|三月怒涛中
灯花 小摘 绿酒 入夜	绿酒交春熟|灯花入夜开|两畦堪小摘|不见故人来
留将 点头 数片 封侯	白者往干霸|黄者傅封侯|留将数片在|无人时点头
疏 东城 潮头 忧	癸水绕东城|刀兵不用忧|须勤疏道力|常使达潮头
多 决明 冷 犀角	有瘴多须泪|无令冷药多|细辛并地骨|犀角决明和
绝 云移 鸟 落日	落日没前滩|云移鸟欲还|除巾不即卧|恐遇绝奇山
山家 修竹 秋日 闭门	井口橘依堑|井头桃覆屋|山家秋日晏|闭门数修竹
黄泉 婉娈 双燕 雌雄	双燕复双燕|生时不相见|相见在黄泉|雌雄何婉娈
琵琶 飞去 杨花 洗妆	辽后洗妆池|琵琶听罢时|杨花莫飞去|留伴大阏氏
天下 垂 望 调羹	郏鄏至汾阴|重名垂不朽|天下望调羹|有谁能著手
江水 波浪 舟楫 采莲	采莲复采莲|莲生隔江水|不愁无舟楫|但愁波浪起
凉风 柳梢 明月 微云	凉风落柳梢|微云淡河面|怀中明月光|多赊不为贱
见 木 观 天根	震位东方木|胡为以帝言|一芽观出处|主宰见天根
地僻 抱瓮 车马 白鸥	抱瓮似汉阴|地僻无车马|白鸥海上来|日对忘机者
戴天 逃 仇 去官	去官因脱囚|为感戴天仇|史氏乃失实|却云逃报雠
垂钓 台 白龙 龙	汉王昔垂钓|白龙从天来|至今龙起处|犹傍汉王台
白露 皓月 湿 去留	白露湿庭砌|皓月临前轩|此时去留恨|含思独无言
青天 孤云 灯影 禅衣	碧嶂孤云宿|青天一鹤飞|夜龛灯影灭|藤月照禅衣
天游 花白 深竹 琳琅	湘中琳琅碧|岳顶莲花白|隐几深竹中|嗒尔天游客
戒 求名 谁知 行人	求名恐颠隮|求道戒进取|谁知却行人|可以超万古
世人 明主 汉 拂衣	肃宗汉明主|犹恶五噫诗|一旦拂衣去|世人那得知
横塘 风雨 出水 吾欲	荷芰满横塘|出水一何长|风雨莫太骤|吾欲制吾裳
天下 花中 清芬 江南	真是花中瑞|本朝名始闻|江南一梦后|天下遇清芬
幽人 门掩 白云 清溪	家住清溪口|门掩清溪树|溪上多白云|幽人自来去
秋风 江乡 泽国 晚日	芙渠十顷阔|藻荇一篙深|晚日江乡景|秋风泽国心
想像 挥毫 风月 孤竹	孤竹生来瘦|挥毫欲动摇|双溪风月夜|想像沈郎腰
树 双栖 夜啼 枝低	露压树枝低|门前乌夜啼|乌啼因甚恶|嗟尔亦双栖
地 圣 河汾 策	当时三晋地|已有圣人生|不晓河汾氏|为隋策太平
行乐 细数 分阴 惜	行乐惜分阴|或风雨有疾|细数一年中|户开能几日
亭亭 修竹 著人 黄昏	袖寒倚修竹|暗起著人香|联影黄昏月|亭亭上璧珰
瑶草 龙脑 采 谁识	陟阿采玉芝|浮涧拾瑶草|野碓竟日舂|谁识是龙脑
树 青青 去年 喜	青青庭前树|上有黄栗留|去年人听喜|今年人听愁
倾 葵藿 节 芳	物性不可夺|葵藿倾太阳|为臣兹取节|万古有馀芳
吞 大小 谁 城	饮血吞奴羯|盛溲饷佛狸|勿论城大小|但问守城谁
马蹄 流水 古城 初晴	马蹄傍古城|道上雨初晴|石濑千年滴|墓前流水声
经霜 石畔 色 蕉叶	石畔色蕉叶|经霜便不留|偶传方子笔|宜夏亦宜秋
扬州 云水 客子 芭蕉	窗外芭蕉雨|空房冷似秋|梦来云水阔|客子在扬州
庵 心 参 谁谓	静深堂奥间|真如公所庵|谁谓平生心|可以禅境参
晚节 坚 妙年 钱	但了官中事|都无俸外钱|妙年能尔尔|晚节更须坚
识 著 渔蓑 渔郎	侬亦著渔蓑|侬旧识詹何|渔郎在邻舫|何不和侬歌
锦 障泥 溪 云度	万峰云度壑|孤寺雨鸣溪|马渡溪前水|疑怜锦障泥
玉 锦绣 群花 逍遥	群花各娇春|粲若锦绣谷|于焉日逍遥|中有人如玉
归去 子规 花开 花谢	花开春正好|花谢春还暮|不意子规禽|犹能道归去
灯暗 怜 月明 露湿	窗里怜灯暗|阶前畏月明|不辞逢露湿|祗为重宵行
天王 市井 门阑 大士	豕系天王座|乌巢大士冠|鸡栖为市井|鹿柴作门阑
诗 纸 言 怯见	怯见诗千首|悭持纸百番|纸多诗剩到|费杀哑儿言
取次 双 出 行人	近树参差出|行人取次多|扳桥双路口|此世几回过
饥鹰 成 毛发 酣眠	一从秃毛发|万事成乖阻|贪食等饥鹰|酣眠如饱虎
还家 满院 山桃 春风	山桃空屋里|转徙未还家|独有春风到|犹开满院花
点点 期君 春水 山中	点点易未了|山中年复年|期君弄春水|早渡越江船
阁 半岩 氅 石	衣笼化为石|何年阁半岩|多因仙帔氅|不是无裙衫
灵雨 物物 草 降	维天降灵雨|物物均所蒙|胡为兹穑稼|不知草芃芃
金屋 芳年 丹青 谁知	绝艳生殊域|芳年入内庭|谁知金屋宠|只是信丹青
瀑布 女萝 徘徊 柴门	竹树柴门古|重阴胸女萝|徘徊溪径曲|瀑布下岩阿
石楼 海山 醉里 寒花	掷杖下丹丘|寒花点石楼|十年残醉里|不见海山秋
天下 归田 际 文明	天下文明日|云从隘九霄|归田沾霈泽|同幸际皇朝
寂寥 大雅 古人 落落	大雅久寂寥|落落为谁语|我欲友古人|参到无言处
幕府 美酒 青山 春耕	幕府今何处|青山水绕城|乌程有美酒|还肯饷春耕
小雨 青青 终日 道人	小雨闭空斋|青青竹映阶|道人终日静|一枕到无怀
小阁 宇宙 宽 飞霞	小阁本非宽|宇宙在其内|心与太初邻|不假飞霞佩
屋 奇 才大 江风	高浪如银屋|江风一发时|笔端降太白|才大语终奇
青天 点 船 缺月	缺月在青天|抱衾犹未眠|邻灯三五点|都是别人船
轩 胶胶 重 鸣	胶胶司晨鸣|报尔东方旭|无事恋君轩|今君重凫鹄
微雨 萧萧 柳条 寒食	空馆逢寒食|东风试柳条|愁心绵上火|微雨泣萧萧
清浅 明月 东西 白沙	清浅白沙滩|绿蒲尚堪把|家住水东西|浣纱明月下
云表 洗心 西南 缺月	白足礼江沙|七星在云表|洗心无一尘|缺月西南晓
昏晓 观 高出 冥心	井干何郭落|高出万象表|纵目无涯观|冥心破昏晓
秋风 昭阳 月明 长信	长信秋风起|昭阳夜月明|相看一步地|各自不胜情
旭日 秋风 明星 长林	明星当大路|旭日照长林|晨起坐房室|秋风吹我襟
壮心 经术 汉 失	念汝得一官|壮心犹若失|却问汉功曹|何烦晓经术
卧龙 谁云 死 未易	事或难遥度|人殊未易知|谁云卧龙死|复有一姜维
轻舟 回看 孤屿 归路	轻舟转孤屿|幽浦漾平波|回看望佳处|归路逐鱼歌
舒 浑 书 蕉心	蕉心卷复舒|此意竟何如|相看浑不语|恐是故人书
池边 新月 月下 清妍	寒池月下明|新月池边曲|若不妒清妍|却成相映烛
含愁 昨夜 中秋 空留	昨夜中秋月|含愁顾影频|空留可怜影|不见可怜人
白日 左右 图书 山房	山房白日静|左右列图书|哲人久不作|掩卷空欷歔
水旱 酬 覆 田家	一官振饥荒|一官覆水旱|州里多应酬|田家少愁叹
山僧 落叶 夜雨 迎客	寺僻无人行|夜雨长秋草|山僧出迎客|落叶不曾扫
水面 山头 倚杖 清风	倚杖看闾山|垂纶钓凌水|山头宿雾开|水面清风起
饶 盘餐 修竹 弹	廛中饶菜把|足以给盘餐|不逐露葵去|定遭修竹弹
洒落 丹青 造物 风月	胸怀自洒落|风月特寓形|造物无尽藏|何假乎丹青
山水 主 弄 长林	临风弄清弦|长林不知暑|故知山水间|闲者便是主
屈指 日出 白发 江南	悠然望江南|日出烟霭微|倚门双白发|屈指待儿归
解 凤管 阳春 水暖	水暖蛟冰解|灰飞凤管和|阳春与皇泽|并付女夷歌
未省 别离 慰 兄弟	平时兄弟间|未省别离味|别时已不堪|别后何由慰
住 北人 诗名 闭户	北人归欲尽|犹自住萧山|闭户不曾出|诗名满世间
明月 狂 人道 长啸	岩林长啸久|人道古遗狂|枕仗当明月|猿裘一半霜
政 持养 君 清明	心为形之君|所主一身政|持养常清明|百体皆顺令
春草 天涯 白首 斜阳	春草青犹短|牵愁尔许长|天涯白首客|独立几斜阳
暮云 推篷 江干 飞雪	暮云天一色|飞雪满江干|野艇归来晚|推篷不厌看
北风 西湖 家住 钱塘	此身如断蓬|飘萧随北风|钱塘一望地|家住西湖东
睡去 守 西爽 南柯	睡去非不愿|热来无奈何|蒙渠致西爽|为汝守南柯
赏心 踏青 春工 花阴	四野春工遍|柔风动赏心|踏青喧柳陌|举白醉花阴
大江 泛 中夜 边	夫婿泛淮船|闺门一步前|如何中夜梦|却在大江边
谁知 分明 道 师	谁知学进处|不在好为师|好把铭心道|分明说与伊
简书 汝 佩 苏子	惭非苏子佩|聊置简书间|尺牍予慵理|何劳汝汗颜
帘旌 萧条 日照 图	朝拂昆城涨|暮瞩海虞孤|日照帘旌里|萧条粉墨图
满林 夕阳 风起 美人	名花似美人|娉婷代应绝|夕阳时独立|风起满林雪
休问 星光 露寒 青藜	何必青藜照|星光莽四垂|露寒休问夜|乐此未为疲
未归 长日 春归 燕子	病身劳应接|长日掩荏扉|燕子来何晚|春归寒未归
寒潮 楼台 昨夜 环佩	楼台春后掩|环佩月中行|莫上胥门望|寒潮昨夜生
明朝 报道 吉 昨夜	今年七十七|出行须择日|昨夜问龟哥|报道明朝吉
君看 宜 岁寒 花草	勿谓闲花草|色成各有宜|君看桃与李|未是岁寒姿
携手 寺 半日 南山	陟屺寺南山|曾陪半日闲|春来梦携手|宛在白云间
孤舟 未觉 扬子 风雨	扬子洲前月|离人未觉愁|不因风雨夕|那识是孤舟
半山 知己 期 叹息	世无半山叟|叹息屏间诗|曾参尚投杼|知己何敢期
金谷 着意 齐 辽西	春催金谷晓|一望百花齐|不作辽西梦|从渠着意啼
珍重 瓦盆 醉 白衣	常年老瓦盆|珍重花神意|白衣人不来|对尔聊成醉
城头 台 地轴 天边	地轴横昆丘|上有百尺台|天边桐柏水|西向城头来
书 政 懒作 丘壑	避闹深违俗|耽闲懒作书|故人无诮我|丘壑政关渠
萧散 宇宙 旭日 积雨	旭日原隰丽|积雨条枚新|万物此萧散|宇宙一欠伸
芦花 清净 吾诗 人世	芦花新有雁|四面水连天|清净非人世|吾诗咏不全
乐 晚节 黄绮 商山	可怜商山乐|黄绮不同归|闻公有二老|晚节自离奇
隐密 讨 么 瑕疵	隐密全真处|浑仑未剖时|从来只与么|不用讨瑕疵
弃置 行年	弃置复弃置|其然岂其然|百钱聊为我|更看小行年
归人 泽国 年年 芳草	泽国多芳草|年年长自春|应从屈平后|更苦不归人
计 空遗 祖龙 谋	把袖谋几售|开图计忽穷|空遗千古恨|不中祖龙胸
山翠 春涨 雪花 去作	舍南一曲溪|春涨半篙水|去作落崖声|雪花溅山翠
黄花 异 晚节 盈盈	两两琼霜下|盈盈瑶水涯|纵然同晚节|犹自异黄花
议论 学圣 谈 予	刘戒释文义|潘不议论予|无乃谈学圣|勿越各身躯
朱明 解颜 寄迹 春风	炼丹朱明洞|寄迹飞来山|五百年前事|春风为解颜
藕花 借问 鸳鸯 莲叶	藕花既相偶|莲叶亦相连|借问鸳鸯鸟|何茎最可怜
麦秋 清风 献寿 积雨	积雨收梅夏|清风度麦秋|六宫争献寿|不觉月沉钩
碧玉 青楼 试 盈盈	碧玉青楼女|盈盈妆粉红|不应试醮甲|翻令妒守宫
欲寻 钟声 渔舟 路	刹景重遮壑|钟声出莫楼|欲寻归寺路|滩畔问渔舟
洞口 薜萝 翩翩 飘飘	翩翩十绝幡|飘飘九疑仙|洞口薜萝长|来降是何年
枯 明日 朔风 度	朔风劲于箭|朔草枯如漆|万里度居延|尅胜在明日
云表 精庐 曲径 日边	曲径因山转|精庐到地成|楼从云表出|人在日边行
云英 玉粒 羽翼 光华	神烛光华丽|灵祛羽翼生|已传餐玉粒|犹自买云英
烟景 长江 中人 萧萧	疏柳静茅亭|亭下长江路|不见亭中人|萧萧烟景莫
林下 葛巾 溪边 春风	林下扶藤杖|溪边整葛巾|春风莫相妒|不是折花人
雪中 黄花 西南 东南	麻姑东南别|衣袂湿空翠|雪中米黄花|愿饷西南使
秋霜 芙蕖 努力 颜色	煌煌芙蕖花|绿叶扶金房|承君爱颜色|努力拒秋霜
荷花 泛 谁言 吴姬	谁言北湖内|百里泛荷花|为少吴姬采|来冲汉使槎
松窗 出 荣悴 闲	死生归有命|荣悴出无心|苔井闲磨剑|松窗自斲琴
花明 高寒 屐齿 石路	石路屐齿滑|天风吹高寒|花明喜珠缀|竹瘦愁露漙
大江 袖中 孤山 中流	大江自吞空|中流涌孤山|欲取藏袖中|归置几案间
根株 旸谷 扶桑 中央	旸谷种扶桑|根株万里长|八风吹不动|生在海中央
大江 日夜 辛苦 扁舟	日夜大江流|天边到石头|莫愁湖九曲|辛苦迟扁舟
遗书 谢 蠹鱼 屯田	吾祖屯田公|遗书悉安在|为我谢诸兄|蠹鱼时一晒
横空 丹青 霜落 江清	江清风偃木|霜落雁横空|若个丹青里|犹须著此翁
寻诗 野水 老农 叶叶	寻诗小醉时|不许老农知|叶叶泛轻舠|试渡野水陂
久住 春草 西去 溪路	久住水东溪|欲往水西去|一夜春草生|溪路无寻处
画舫 桃源 东风 吹	何处桃源路|当湖也自深|东风吹画舫|春早一相寻
纱窗 梦里 辽西 朦胧	绮席春眠觉|纱窗晓望迷|朦胧残梦里|犹自在辽西
谁知 俯仰 陈迹 翠微	携壶上翠微|雅致何今昔|谁知一笑间|俯仰成陈迹
夜泊 青山 仙人 江空	夜泊青山下|江空不受尘|只看波底月|便是谪仙人
新晴 悬知 过雨 晓妆	过雨天犹湿|新晴日尚寒|悬知晓妆好|破雾急来看
近水 淡 采芳 芬芳	近水宛芬芳|临风淡容与|不见采芳舟|疑逢戍边女
仙 药 日月 壶中	有喜何须药|无尘即是仙|壶中春日月|聊数八千年
团扇 掌握 田田 炎暑	田田白团扇|轻绡写蝉雀|用之却炎暑|生风郎掌握
大小 布 住 黄鹂	大小两黄鹂|公然吃花住|顷刻布同云|迷却来时路
暝 催春 冻雨 冷	乱雨飞翔雪|冻雨催春暝|不念郎身寒|所畏郎心冷
扶筇 松子 人头 麋鹿	无事扶筇出|远寻麋鹿游|莫行松底路|松子打人头
门 遗经 弟子 未终	先业归犹在|遗经读未终|岂无门弟子|私谥作文中
东郊 绿 去 王春	日催红𩉾鞢|雪放绿蒙茸|莫向东郊去|王春在九重
飞升 官府 足 山中	上界足官府|飞升亦何益|还在此山中|相逢不相识
秋风 秋水 怒号 山势	秋水已复漕|秋风初怒号|天容霜后净|山势北来高
日月 物外 梦中 黄粱	物外日月忙|人闲忧患长|休谈梦中梦|万古一黄粱
久 成 邂逅 梦中	与子别来久|相思日几回|有时成邂逅|多是梦中来
吾将 区区 耳 水	吾将益人善|因之攻人瑕|区区亦疏耳|如煮水灌花
城池 弟兄 高深 报国	城池不高深|无财又无兵|惟有死报国|来生作弟兄
苍梧 竹 隔断 重华	泪染竹成斑|重华去不还|苍梧云一片|隔断九疑山
树头 风声 泉流 雨过	雨过乱泉流|风声满树头|山斋如斗大|容得许多秋
中人 热 水亭 暑	先生坐水亭|三伏不知暑|多少热中人|安得此闲处
山头 开门 溪声 雨过	山头凉雨过|一夜溪声急|向晓下藤床|开门飞泉入
梦回 寒梅 探 石桥	一念无尘杂|三更有梦回|同他石桥老|过水探寒梅
荷花 晚 香 出门	出门日已晚|棹短路何长|赖有风相送|荷花十里香
明月 云霄 儒宗 蝉蜕	胸中炯明月|一照万缘空|蝉蜕云霄表|堕地为儒宗
凤凰 白首 穰穰 倦飞	倦飞甘白首|竹实正穰穰|不敢先尝食|留之待凤凰
兴亡 事 重论 崇	狼秦崇苛政|有女亦蒙冤|欲吊兴亡事|神应耻重论
梅花 春云 人道 流苏	甲帐挂流苏|人道春云热|梅花一纸寒|襺云云不泄
高飞 珍禽 路旁 毛羽	珍禽好毛羽|高飞不啄粟|路旁挟弹儿|何自规其肉
新绿 轻红 鸟 双眉	双眉学新绿|二脸例轻红|言模出浪鸟|字写入花虫
悲伤 清霜 坠 著	寒叶坠清霜|空帘著烬香|生前既无事|何事更悲伤
照水 渔舟 渡口 空留	渡口渔舟去|收筒捲钓绳|空留矶畔石|照水立鱼鹰
长物 空斋 琅玕 清风	独坐清风里|流云湿画栏|空斋无长物|十万紫琅玕
彩服 招隐 小山 斑斑	寿亲发斑斑|彩服老莱戏|欲赋招隐诗|小山念松桂
滟滟 瑶席 流光 芙蓉	滟滟九微灯|流光铄瑶席|忽报阿环来|芙蓉别成色
山 口 女 寄我	已复山上山|何当口中口|写兹秋下心|寄我女边帚
徘徊 未开 春风 下马	下马久徘徊|林芳殊未开|春风真有意|须待主翁来
双溪 休问 清溪 渔人	清溪夹桃径|玉洞万株春|为有双溪误|渔人休问津
拄杖 提携 船 汝	吾尝评拄杖|妙处在轻坚|何日提携汝|同登入峡船
月色 独醒 乐事 沧波	月色满沧波|吾生乐事多|何人独醒者|试听濯缨歌
苍梧 刺史 问道 别驾	不闻端别驾|敬士如子长|问道苍梧下|登歌刺史堂
江清 疏林 秋雨 巉岩	巉岩古径幽|疏林阁秋雨|小立藓花寒|江清鱼可数
夕阳 童子 远树 急雨	夕阳挂东峰|光色笼远树|西峰急雨来|童子渡溪去
山水 峰 写 水清	云顶峰崛奇|金渊水清写|勉从山水游|切勿轻民社
载酒 题字 幻 绛纱	题字成元草|绿天幻绛纱|勿容贪载酒|何客可名芭
仙客 烟水 孤云 厌	仙客厌人间|孤云比性闲|话离情未已|烟水万重山
入手 芗林 泛宅 未	芗林未置身|泛宅先入手|二疏归来时|能似今日否
中 黄山 尺寸 小小	小小黄山笋|移来画册中|英州那有此|尺寸亦华嵩
秋叶 心事 屈曲 字	秋叶不堪书|青虫解心事|屈曲往复回|却是相思字
孝慈 纤芥 过 国	一自王之国|于今二十年|了无纤芥过|都是孝慈然
璀璨 中看 汉家 飞燕	急霰争璀璨|仙摽不解寒|汉家赵飞燕|偏许雪中看
写 梵音 流水 跳珠	栖云佛堂顶|流水僧寮下|为恋清梵音|跳珠不成写
斗 年芳 仙人 帝	未染仙人杏|偏柔帝女桑|应知蚕事早|不独斗年芳
黄阁 大风 黑头 甘露	圣德垂甘露|天章下大风|又乘黄阁赏|愿作黑头公
春云 鲤鱼 燕子 晴雪	晴雪散河堤|春云晚复迷|鲤鱼跳藻叶|燕子拂兰荑
岩谷 高林 望远 阴	我怀贞炼士|多在岩谷阴|惟有高林月|长知望远心
白玉 小孤 织女 世	小孤宁有匹|织女自无家|浪比人间世|增添白玉瑕
竹里 骨 水气 吐吞	两螭相吐吞|水气清人骨|截浇竹里花|分映岩前月
年年 遥见 穹庐 建章	年年心随雁|日日穹庐中|遥见沙上月|忽忆建章宫
青竹 江湖 乐事 洞庭	敲火然青竹|磨刀割素鳞|江湖真乐事|输与洞庭人
高 春秋 梁溪 祠	梁溪深十寻|湛岘高万武|我作李公祠|春秋荐牲酤
折腰 渊明 东林 怀	折腰为五斗|我已愧渊明|共赴东林约|怅然怀友生
江北 领取 消息 石头	石头城上客|领取一枝梅|何事春消息|今从江北来
懒 归鸿 苏门 人笑	人笑嵇生懒|胡然送巨源|归鸿君自看|依旧入苏门
岁华 凄凉 儿童 龙钟	儿童烧爆竹|妇女治椒花|独有龙钟叟|凄凉感岁华
昨夜 分明 江路 石头	昨夜梦归家|双桨石头下|江路不分明|五两健如马
寂寥 诗酒 莺花 东园	东园春正好|游乐预相招|诗酒如无伴|莺花也寂寥
明月 吹笙 仙人 云中	仙人王子晋|忽作千年别|时下碧云中|吹笙弄明月
君王 桃李 梳洗 石渠	桃李六宫寂|君王在石渠|临鸾悔梳洗|女色不如书
姬 妇人 愚 亲	可怜姬告母|父孰与夫亲|能置此一问|未为愚妇人
